Sample,Type,Site,Reach,Location,Replicate,Date,Dry Weight (g),Tin Weight (g),Subsample Dry Weight + Tin (g),Subsample Dry Weight (g),Tin + Ash (g),Ash (g),Subsample AFDM (g), Sample OM (g),Sampler Radius (cm),Sampler Area (cm2),CPOM (g/m2),Carbon Mass CPOM (g/m2)
CBPOC,BENTHIC,LP,BDA,LWR,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,LWR,2,6/14/2021,0.0106,0.9337,0.0000,0.0000,0.9337,0.0000,0.0000,0.0106,8.75,240.53,1.21,0.63
CBPOC,BENTHIC,LP,BDA,LWR,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,MID,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,MID,2,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,MID,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,UPR,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,BDA,UPR,2,6/14/2021,0.0444,0.9300,0.0000,0.0000,0.9332,0.0032,0.0000,0.0412,8.75,240.53,4.71,2.45
CBPOC,BENTHIC,LP,BDA,UPR,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,LWR,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,LWR,2,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,LWR,3,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
CBPOC,BENTHIC,LP,REF,MID,1,6/14/2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.75,240.53,0.00,0.00
