Sample,Site,Reach,Location,Replicate,Date,Dry Weight + Filter (g),Ash + Filter (g),LOI (g),Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Average Depth (cm),Filtered Volume (ml),Sampler Radius (cm),Sampler Area (cm2),Sampler Volume (mL),Total FBPOM (g),Total FBPOM (g/m2),FBPOC (g/m2)
FBPOC,LP,BDA,LWR,1,6/14/2021,0.1329,0.1302,0.0027,24.0,24.2,25.0,24.0,24.3,30,8.750,240.53,5844.8342,0.5260,2.1870,1.14
FBPOC,LP,BDA,LWR,2,6/14/2021,0.1482,0.1396,0.0086,33.4,33.8,33.4,33.0,33.4,30,8.750,240.53,8033.6405,2.3030,9.5747,4.98
FBPOC,LP,BDA,LWR,3,6/14/2021,0.1679,0.1523,0.0156,39.8,37.3,37.6,38.7,38.4,30,8.750,240.53,9224.2548,4.7966,19.9420,10.37
FBPOC,LP,BDA,MID,1,6/14/2021,0.1817,0.1619,0.0198,33.5,33.3,32.8,33.0,33.2,28,8.750,240.53,7973.5084,5.6384,23.4418,12.19
FBPOC,LP,BDA,MID,2,6/14/2021,0.2875,0.2314,0.0561,42.0,42.3,40.3,41.5,41.5,60,8.750,240.53,9987.9317,9.3387,38.8259,20.19
FBPOC,LP,BDA,MID,3,6/14/2021,0.1348,0.1324,0.0024,32.8,31.4,29.0,29.8,30.8,10,8.750,240.53,7396.2408,1.7751,7.3800,3.84
FBPOC,LP,BDA,UPR,1,6/14/2021,0.2298,0.1880,0.0418,32.8,30.0,31.0,32.4,31.6,17,8.750,240.53,7588.6634,18.6592,77.5759,40.34
FBPOC,LP,BDA,UPR,2,6/14/2021,0.2117,0.1870,0.0247,27.9,26.6,28.5,29.0,28.0,40,8.750,240.53,6734.7884,4.1587,17.2900,8.99
FBPOC,LP,BDA,UPR,3,6/14/2021,0.1578,0.1481,0.0097,17.9,17.5,17.6,16.8,17.5,25,8.750,240.53,4197.2163,1.6285,6.7706,3.52
FBPOC,LP,REF,LWR,1,6/14/2021,0.2061,0.1680,0.0381,17.8,18.0,19.4,18.1,18.3,50,8.750,240.53,4407.6785,3.3587,13.9637,7.26
FBPOC,LP,REF,LWR,2,6/14/2021,0.1829,0.1599,0.0230,19.9,20.5,21.5,21.0,20.7,180,8.750,240.53,4984.9461,0.6370,2.6482,1.38
FBPOC,LP,REF,LWR,3,6/14/2021,0.1618,0.1466,0.0152,16.0,16.0,15.9,14.7,15.7,180,8.750,240.53,3764.2657,0.3179,1.3216,0.69
FBPOC,LP,REF,MID,1,6/14/2021,0.1750,0.1607,0.0143,18.0,18.0,16.9,15.8,17.2,50,8.750,240.53,4131.0711,1.1815,4.9120,2.55
FBPOC,LP,REF,MID,2,6/14/2021,0.2753,0.1969,0.0784,18.0,19.5,18.3,20.0,19.0,50,8.750,240.53,4558.0086,7.1470,29.7136,15.45
FBPOC,LP,REF,MID,3,6/14/2021,0.4511,0.3317,0.1194,14.9,14.0,12.9,13.0,13.7,60,8.750,240.53,3295.2358,6.5575,27.2630,14.18
FBPOC,LP,REF,UPR,1,6/14/2021,0.1488,0.1402,0.0086,5.5,6.0,5.0,5.2,5.4,80,8.750,240.53,1304.8653,0.1403,0.5832,0.30
FBPOC,LP,REF,UPR,2,6/14/2021,1.0535,0.6685,0.3850,9.0,7.5,7.5,8.0,8.0,40,8.750,240.53,1924.2253,18.5207,77.0000,40.04
FBPOC,LP,REF,UPR,3,6/14/2021,0.2550,0.2244,0.0306,7.0,6.5,5.7,6.0,6.3,50,8.750,240.53,1515.3274,0.9274,3.8556,2.00
FBPOC,FH,BDA,LWR,1,6/15/2021,0.1665,0.1595,0.0070,54.0,58.5,56.0,56.0,56.1,20,8.750,240.53,13499.6428,4.7249,19.6438,10.21
FBPOC,FH,BDA,LWR,2,6/15/2021,0.1609,0.1563,0.0046,30.0,28.3,25.0,29.0,28.1,30,8.750,240.53,6752.8280,1.0354,4.3048,2.24
FBPOC,FH,BDA,LWR,3,6/15/2021,0.1846,0.1764,0.0082,10.0,11.0,9.0,10.5,10.1,20,8.750,240.53,2435.3476,0.9985,4.1512,2.16
FBPOC,FH,BDA,MID,1,6/15/2021,0.1760,0.1655,0.0105,40.6,38.8,39.7,40.0,39.8,15,8.750,240.53,9567.0075,6.6969,27.8425,14.48
FBPOC,FH,BDA,MID,2,6/15/2021,0.2068,0.1948,0.0120,20.0,21.5,19.0,20.0,20.1,15,8.750,240.53,4840.6292,3.8725,16.1000,8.37
FBPOC,FH,BDA,MID,3,6/15/2021,0.1950,0.1847,0.0103,29.5,30.0,31.5,29.3,30.1,15,8.750,240.53,7233.8843,4.9673,20.6515,10.74
FBPOC,FH,BDA,UPR,1,6/15/2021,0.1715,0.1626,0.0089,32.6,32.5,31.8,30.5,31.9,30,8.750,240.53,7660.8218,2.2727,9.4488,4.91
FBPOC,FH,BDA,UPR,2,6/15/2021,0.1777,0.1702,0.0075,31.5,31.9,29.5,30.5,30.9,40,8.750,240.53,7420.2937,1.3913,5.7844,3.01
FBPOC,FH,BDA,UPR,3,6/15/2021,0.1464,0.1433,0.0031,25.5,27.3,27.0,25.8,26.4,30,8.750,240.53,6349.9434,0.6562,2.7280,1.42
FBPOC,FH,REF,LWR,1,6/15/2021,0.1730,0.1675,0.0055,11.0,13.0,12.0,10.5,11.6,20,8.750,240.53,2796.1398,0.7689,3.1969,1.66
FBPOC,FH,REF,LWR,2,6/15/2021,0.1543,0.1509,0.0034,13.9,13.9,15.0,15.0,14.5,20,8.750,240.53,3475.6319,0.5909,2.4565,1.28
