Sample,Site,Reach,Chamber,Plaster Weight (g),Plaster Volume (cm^3),Tin Weight (g),Total Sample Wet (g),Subsample Wet (g),Sample/Subsample Ratio ,Gravel (g),Pre-grind Dry Subsample + Tin (g),Pre-grind Dry Subsample (g),Re-dried Subsample (g), Ground Subsample Ashed + Tin (g),Acutal Subsample Ashed + Tin (g),Subsample Ash (g),Total Sample Ash (g),Subsample OM (g),Sample OM (g),Sample Carbon Content (g)
SOC,TP,BDA,1,116.87,75,1.1528,49.86,5.8391,8.53899,0.000,5.6624,4.5096,5.6840,5.1126,5.093171,3.940371,33.6468,0.5692,4.8606,2.5275
SOC,TP,BDA,2,108.63,73,1.1615,34.29,5.6466,6.07268,0.000,3.7117,2.5502,3.7166,3.2709,3.266588,2.105088,12.7835,0.4451,2.7030,1.4056
SOC,TP,BDA,3,109.76,68,1.1599,39.40,5.5404,7.11140,0.000,3.8388,2.6789,3.8593,3.4920,3.473451,2.313551,16.4526,0.3653,2.5981,1.3510
SOC,TP,BDA,4,130.32,74,1.1616,76.13,7.6515,9.94968,0.000,5.9969,4.8353,6.0128,5.4303,5.415940,4.254340,42.3293,0.5810,5.7804,3.0058
SOC,TP,BDA,5,152.05,98,1.1454,59.77,5.3028,11.27140,0.000,3.9862,2.8408,4.0189,3.5959,3.566642,2.421242,27.2908,0.4196,4.7290,2.4591
SOC,TP,BDA,6,135.86,75,1.1566,58.41,6.2931,9.28159,0.000,4.7900,3.6334,4.8197,4.4078,4.380638,3.224038,29.9242,0.4094,3.7995,1.9758
SOC,TP,REF,7,99.50,68,1.1559,47.29,3.8137,12.40003,0.000,3.3820,2.2261,3.4059,2.9937,2.972693,1.816793,22.5283,0.4093,5.0754,2.6392
SOC,TP,REF,8,116.36,75,1.1509,42.77,5.2982,8.07255,4.996,4.1405,2.9896,4.1613,3.7507,3.731952,2.581052,20.8357,0.4085,3.2980,1.7150
SOC,TP,REF,9,123.94,75,1.1619,59.14,5.7428,10.29811,10.599,4.7739,3.6120,4.7846,4.4413,4.431368,3.269468,33.6693,0.3425,3.5274,1.8343
SOC,TP,REF,10,117.47,70,1.1460,40.04,6.1388,6.52245,38.780,5.5890,4.4430,5.6147,5.1490,5.125432,3.979432,25.9556,0.4636,3.0236,1.5723
