Site ID,Sample,Site,Reach,Location,Replicate,Date,Dry_Weight_and_Filter,Ash_and_Filter,LOI,SPOM,SPOC
SPOC/LP/DS/LWR/1,SPOC,LP,DS,LWR,1,06/14/2021,0.1280,0.1277,0.0003,0.3,0.16
SPOC/LP/DS/LWR/2,SPOC,LP,DS,LWR,2,06/14/2021,0.1261,0.1258,0.0003,0.3,0.16
SPOC/LP/DS/LWR/3,SPOC,LP,DS,LWR,3,06/14/2021,0.1281,0.1281,0.0000,0.0,0.00
SPOC/LP/BDA/LWR/1,SPOC,LP,BDA,LWR,1,06/14/2021,0.1313,0.1301,0.0012,1.2,0.62
SPOC/LP/BDA/LWR/2,SPOC,LP,BDA,LWR,2,06/14/2021,0.1272,0.1265,0.0007,0.7,0.36
SPOC/LP/BDA/LWR/3,SPOC,LP,BDA,LWR,3,06/14/2021,0.1339,0.1331,0.0008,0.8,0.42
SPOC/LP/REF/LWR/1,SPOC,LP,REF,LWR,1,06/14/2021,0.1401,0.1367,0.0034,3.4,1.77
SPOC/LP/REF/LWR/2,SPOC,LP,REF,LWR,2,06/14/2021,0.1282,0.1272,0.0010,1.0,0.52
SPOC/LP/REF/LWR/3,SPOC,LP,REF,LWR,3,06/14/2021,0.1302,0.1284,0.0018,1.8,0.94
SPOC/LP/GS/UPR/1,SPOC,LP,GS,UPR,1,06/14/2021,0.1295,0.1281,0.0014,1.4,0.73
SPOC/LP/GS/UPR/2,SPOC,LP,GS,UPR,2,06/14/2021,0.1290,0.1282,0.0008,0.8,0.42
SPOC/LP/GS/UPR/3,SPOC,LP,GS,UPR,3,06/14/2021,0.1267,0.1245,0.0022,2.2,1.14
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,1,06/15/2021,0.1338,0.1322,0.0016,1.6,0.83
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,2,06/15/2021,0.1338,0.1322,0.0016,1.6,0.83
SPOC/FH/DS/LWR/1,SPOC,FH,DS,LWR,3,06/15/2021,0.1329,0.1306,0.0023,2.3,1.20
SPOC/FH/BDA/LWR/1,SPOC,FH,BDA,LWR,1,06/15/2021,0.1327,0.1300,0.0027,2.7,1.40
SPOC/FH/BDA/LWR/2,SPOC,FH,BDA,LWR,2,06/15/2021,0.1306,0.1286,0.0020,2.0,1.04
SPOC/FH/BDA/LWR/3,SPOC,FH,BDA,LWR,3,06/15/2021,0.1341,0.1322,0.0019,1.9,0.99
SPOC/FH/REF/LWR/1,SPOC,FH,REF,LWR,1,06/15/2021,0.1352,0.1328,0.0024,2.4,1.25
SPOC/FH/REF/LWR/2,SPOC,FH,REF,LWR,2,06/15/2021,0.1346,0.1320,0.0026,2.6,1.35
SPOC/FH/REF/LWR/3,SPOC,FH,REF,LWR,3,06/15/2021,0.1337,0.1322,0.0015,1.5,0.78
SPOC/FH/GS/UPR/1,SPOC,FH,GS,UPR,1,06/15/2021,0.1306,0.1278,0.0028,2.8,1.46
SPOC/FH/GS/UPR/2,SPOC,FH,GS,UPR,2,06/15/2021,0.1336,0.1313,0.0023,2.3,1.20
SPOC/FH/GS/UPR/3,SPOC,FH,GS,UPR,3,06/15/2021,0.1321,0.1303,0.0018,1.8,0.94
SPOC/TP/DS/LWR/1,SPOC,TP,DS,LWR,1,06/17/2021,0.1305,0.1293,0.0012,1.2,0.62
SPOC/TP/DS/LWR/2,SPOC,TP,DS,LWR,2,06/17/2021,0.1315,0.1299,0.0016,1.6,0.83
SPOC/TP/DS/LWR/3,SPOC,TP,DS,LWR,3,06/17/2021,0.1306,0.1290,0.0016,1.6,0.83
SPOC/TP/BDA/LWR/1,SPOC,TP,BDA,LWR,1,06/17/2021,0.1296,0.1285,0.0011,1.1,0.57
SPOC/TP/BDA/LWR/2,SPOC,TP,BDA,LWR,2,06/17/2021,0.1307,0.1301,0.0006,0.6,0.31
SPOC/TP/BDA/LWR/3,SPOC,TP,BDA,LWR,3,06/17/2021,0.1307,0.1299,0.0008,0.8,0.42
SPOC/TP/REF/LWR/1,SPOC,TP,REF,LWR,1,06/17/2021,0.1306,0.1299,0.0007,0.7,0.36
SPOC/TP/REF/LWR/2,SPOC,TP,REF,LWR,2,06/17/2021,0.1302,0.1295,0.0007,0.7,0.36
SPOC/TP/REF/LWR/3,SPOC,TP,REF,LWR,3,06/17/2021,0.1312,0.1298,0.0014,1.4,0.73
SPOC/TP/GS/UPR/1,SPOC,TP,GS,UPR,1,06/17/2021,0.1299,0.1285,0.0014,1.4,0.73
SPOC/TP/GS/UPR/2,SPOC,TP,GS,UPR,2,06/17/2021,0.1309,0.1296,0.0013,1.3,0.68
SPOC/TP/GS/UPR/3,SPOC,TP,GS,UPR,3,06/17/2021,0.1293,0.1288,0.0005,0.5,0.26
SPOC/LP/BDA/LWR/1,SPOC,LP,BDA,LWR,1,06/28/2021,0.1301,0.1291,0.0010,1.0,0.52
SPOC/LP/BDA/LWR/2,SPOC,LP,BDA,LWR,2,06/28/2021,0.1270,0.1261,0.0009,0.9,0.47
SPOC/LP/BDA/LWR/3,SPOC,LP,BDA,LWR,3,06/28/2021,0.1268,0.1259,0.0009,0.9,0.47
SPOC/LP/REF/LWR/1,SPOC,LP,REF,LWR,1,06/28/2021,0.1277,0.1268,0.0009,0.9,0.47
SPOC/LP/REF/LWR/2,SPOC,LP,REF,LWR,2,06/28/2021,0.1251,0.1245,0.0006,0.6,0.31
SPOC/LP/REF/LWR/3,SPOC,LP,REF,LWR,3,06/28/2021,0.1252,0.1248,0.0004,0.4,0.21
SPOC/LP/GS/UPR/1,SPOC,LP,GS,UPR,1,06/28/2021,0.1338,0.1286,0.0052,5.2,2.70
SPOC/LP/GS/UPR/2,SPOC,LP,GS,UPR,2,06/28/2021,0.1337,0.1298,0.0039,3.9,2.03
SPOC/LP/GS/UPR/3,SPOC,LP,GS,UPR,3,06/28/2021,0.1396,0.1323,0.0073,7.3,3.80
SPOC/FH/BDA/LWR/1,SPOC,FH,BDA,LWR,1,06/29/2021,0.1325,0.1309,0.0016,1.6,0.83
SPOC/FH/BDA/LWR/2,SPOC,FH,BDA,LWR,2,06/29/2021,0.1300,0.1281,0.0019,1.9,0.99
SPOC/FH/BDA/LWR/3,SPOC,FH,BDA,LWR,3,06/29/2021,0.1320,0.1308,0.0012,1.2,0.62
SPOC/FH/REF/LWR/1,SPOC,FH,REF,LWR,1,06/29/2021,0.1296,0.1282,0.0014,1.4,0.73
SPOC/FH/REF/LWR/2,SPOC,FH,REF,LWR,2,06/29/2021,0.1305,0.1290,0.0015,1.5,0.78
SPOC/FH/REF/LWR/3,SPOC,FH,REF,LWR,3,06/29/2021,0.1313,0.1297,0.0016,1.6,0.83
SPOC/FH/GS/UPR/1,SPOC,FH,GS,UPR,1,06/29/2021,0.1305,0.1291,0.0014,1.4,0.73
SPOC/FH/GS/UPR/2,SPOC,FH,GS,UPR,2,06/29/2021,0.1278,0.1264,0.0014,1.4,0.73
SPOC/FH/GS/UPR/3,SPOC,FH,GS,UPR,3,06/29/2021,0.1290,0.1279,0.0011,1.1,0.57
SPOC/TP/BDA/LWR/1,SPOC,TP,BDA,LWR,1,07/01/2021,0.1254,0.1247,0.0007,0.7,0.36
