"Site","Reach","Location","Replicate","Date","BPOC_Carbon_Mass_per_Area","SBPOC_Carbon_Mass_per_Area","FBPOC_Carbon_Mass_per_Area","Total_BPOC_Mass_per_Area"
"LP","BDA","LWR","1","June",0,1.23200071646669,1.13723143058463,2.36923214705132
"LP","BDA","LWR","2","June",0.0229160603666902,1.59610717280398,4.97878914984196,6.59781238301263
"LP","BDA","LWR","3","June",0,0.465250894180469,10.3832817585341,10.8485326527145
"LP","BDA","MID","1","June",0,4.44199372810653,12.2080222942243,16.6500160223308
"LP","BDA","MID","2","June",0,9.52749820714648,20.1771479585095,29.704646165656
"LP","BDA","MID","3","June",0,48.5521381435636,3.84381103561119,52.3959491791748
"LP","BDA","UPR","1","June",0,53.3819771747495,40.4030837846804,93.7850609594299
"LP","BDA","UPR","2","June",0.0890699704818526,5.84579594999199,8.99073225185567,14.9255981723295
"LP","BDA","UPR","3","June",0,3.58446298988456,3.53077339445344,7.115236384338
"LP","REF","LWR","1","June",0,1.70430275751443,7.25113736027915,8.95544011779359
"LP","REF","LWR","2","June",0,0.993509713575358,1.37538963598371,2.36889934955906
"LP","REF","LWR","3","June",0,0.653115078561638,0.68939924959284,1.34251432815448
"LP","REF","MID","1","June",0,93.8194857653944,2.55796472488886,96.3774504902832
"LP","REF","MID","2","June",0,45.6083463342245,15.4917232647359,61.1000695989605
"LP","REF","MID","3","June",0,4.83644715576934,14.1766531742245,19.0131003299938
"LP","REF","UPR","1","June",0,0.0996832488537152,0.301857725402095,0.40154097425581
"LP","REF","UPR","2","June",0,22.139643574923,40.0396982876164,62.1793418625394
"LP","REF","UPR","3","June",0,0.630625248029957,2.0048968924381,2.63552214046806
"FH","BDA","LWR","1","June",10.6910758245753,0,10.2101230633422,20.9011988879175
"FH","BDA","LWR","2","June",0.34892944747017,0,2.24048978383432,2.58941923130449
"FH","BDA","LWR","3","June",0,0.317743605696727,2.1533037741431,2.47104737983983
"FH","BDA","MID","1","June",0,0.678823684838779,14.4870908349739,15.1659145198127
"FH","BDA","MID","2","June",0.372061697085603,0.65951623032684,8.36153699305028,9.39311492046272
"FH","BDA","MID","3","June",0.0633434498815117,0,10.7476256797487,10.8109691296302
"FH","BDA","UPR","1","June",26.2641615679266,11.13875806577,4.921069584778,42.3239892184745
"FH","BDA","UPR","2","June",0,0.171926304478372,3.0127272981023,3.18465360258068
"FH","BDA","UPR","3","June",0,0.127669437968515,1.41854931076126,1.54621874872978
"FH","REF","LWR","1","June",0,0.182768222780927,1.65878750048696,1.84155572326788
"FH","REF","LWR","2","June",0,0.158338806864665,1.28179034128538,1.44012914815004
"FH","REF","LWR","3","June",0,0.0735482457896164,0.646420129010296,0.719968374799913
"FH","REF","MID","1","June",0,1.65843390315144,0.319970922246491,1.97840482539793
"FH","REF","MID","2","June",0,0.458636544021787,0.174718683436872,0.633355227458659
"FH","REF","MID","3","June",0,0.015007086916631,0.190474564711089,0.20548165162772
"FH","REF","UPR","1","June",0.183544672182264,1.44966587628764,0.743594396770019,2.37680494523992
"FH","REF","UPR","2","June",0,0,0.257224728393172,0.257224728393172
"FH","REF","UPR","3","June",0,0.0211118409152886,0.631470241662649,0.652582082577938
"TP","BDA","LWR","1","June",7.40728895441677,11.1115622706993,6.00422142287025,24.5230726479863
"TP","BDA","LWR","2","June",0.356496071176153,1.48173923460427,3.36583063735172,5.20406594313214
"TP","BDA","LWR","3","June",10.2218600590363,13.2092420639875,11.8729287153692,35.304030838393
"TP","BDA","MID","1","June",12.1031010587436,32.6219749826174,28.8317827429709,73.556858784332
"TP","BDA","MID","2","June",6.30753752130711,5.09472920952855,3.48747576153176,14.8897424923674
