"Time","Sample","Site","Reach","Replicate","Avg_area","Mass_ug","Conc_ppm","Date"
"05/31/2021","DOC","LP","BDA","1",171963,46.28,5.784,"06/01/2021"
"05/31/2021","DOC","LP","BDA","2",177236,47.711,5.964,"06/01/2021"
"05/31/2021","DOC","LP","BDA","3",200466,54.017,6.752,"06/01/2021"
"05/31/2021","DOC","LP","REF","1",156560,42.099,5.262,"06/01/2021"
"05/31/2021","DOC","LP","REF","2",96041,25.671,3.209,"06/01/2021"
"05/31/2021","DOC","LP","REF","3",168274,45.278,5.66,"06/01/2021"
"06/02/2021","DOC","FH","BDA","1",204227,55.037,6.88,"06/01/2021"
"06/02/2021","DOC","FH","BDA","2",213737,57.619,7.202,"06/01/2021"
"06/02/2021","DOC","FH","BDA","3",213578,57.576,7.196,"06/01/2021"
"06/02/2021","DOC","FH","REF","1",215531,58.106,7.263,"06/01/2021"
"06/02/2021","DOC","FH","REF","2",81061,21.605,2.701,"06/01/2021"
"06/02/2021","DOC","FH","REF","3",198809,53.567,6.696,"06/01/2021"
"06/03/2021","DOC","TP","BDA","1",89317,23.846,2.981,"06/01/2021"
"06/03/2021","DOC","TP","BDA","2",75995,20.23,2.529,"06/01/2021"
"06/03/2021","DOC","TP","BDA","3",80991,21.586,2.698,"06/01/2021"
"06/03/2021","DOC","TP","REF","1",92355,24.671,3.084,"06/01/2021"
"06/03/2021","DOC","TP","REF","2",91741,24.504,3.063,"06/01/2021"
"06/03/2021","DOC","TP","REF","3",99214,26.533,3.317,"06/01/2021"
"06/07/2021","DOC","LP","BDA","1",132510,35.571,4.446,"06/07/2021"
"06/07/2021","DOC","LP","BDA","2",133049,35.717,4.465,"06/07/2021"
"06/07/2021","DOC","LP","BDA","3",228718,61.685,7.711,"06/07/2021"
"06/07/2021","DOC","LP","REF","1",170266,45.819,5.727,"06/07/2021"
"06/07/2021","DOC","LP","REF","2",150134,40.355,5.044,"06/07/2021"
"06/07/2021","DOC","LP","REF","3",129935,34.872,4.358,"06/07/2021"
"06/08/2021","DOC","FH","BDA","1",169562,45.628,5.704,"06/07/2021"
"06/08/2021","DOC","FH","BDA","2",182138,49.042,6.13,"06/07/2021"
"06/08/2021","DOC","FH","BDA","3",172870,46.526,5.816,"06/07/2021"
"06/08/2021","DOC","FH","REF","1",179700,48.38,6.048,"06/07/2021"
"06/08/2021","DOC","FH","REF","2",102694,27.477,3.435,"06/07/2021"
"06/08/2021","DOC","FH","REF","3",165959,44.65,5.581,"06/07/2021"
"06/10/2021","DOC","TP","BDA","1",141425,37.991,4.749,"06/07/2021"
"06/10/2021","DOC","TP","BDA","2",136792,36.733,4.592,"06/07/2021"
"06/10/2021","DOC","TP","BDA","3",147412,39.616,4.951,"06/07/2021"
"06/10/2021","DOC","TP","REF","1",138602,37.224,4.653,"06/07/2021"
"06/10/2021","DOC","TP","REF","2",142147,38.187,4.773,"06/07/2021"
"06/10/2021","DOC","TP","REF","3",138799,37.278,4.66,"06/07/2021"
"06/14/2021","DOC","LP","BDA","1",101704,27.209,3.401,"06/14/2021"
"06/14/2021","DOC","LP","BDA","2",38325,10.005,1.251,"06/14/2021"
"06/14/2021","DOC","LP","BDA","3",80476,21.447,2.681,"06/14/2021"
"06/14/2021","DOC","LP","REF","1",95680,25.573,3.197,"06/14/2021"
"06/14/2021","DOC","LP","REF","2",105145,28.143,3.518,"06/14/2021"
"06/14/2021","DOC","LP","REF","3",86815,23.167,2.896,"06/14/2021"
"06/15/2021","DOC","FH","BDA","1",143644,38.593,4.824,"06/14/2021"
"06/15/2021","DOC","FH","BDA","2",131112,35.191,4.399,"06/14/2021"
"06/15/2021","DOC","FH","BDA","3",140229,37.666,4.708,"06/14/2021"
"06/15/2021","DOC","FH","REF","2",144339,38.782,4.848,"06/14/2021"
"06/15/2021","DOC","FH","REF","3",139166,37.377,4.672,"06/14/2021"
"06/17/2021","DOC","TP","BDA","1",31030,8.025,1.003,"06/14/2021"
"06/17/2021","DOC","TP","BDA","2",91145,24.343,3.043,"06/14/2021"
"06/17/2021","DOC","TP","BDA","3",86558,23.097,2.887,"06/14/2021"
"06/17/2021","DOC","TP","REF","1",47970,12.623,1.578,"06/14/2021"
"06/17/2021","DOC","TP","REF","2",59658,15.796,1.975,"06/14/2021"
"06/17/2021","DOC","TP","REF","3",94631,25.289,3.161,"06/14/2021"
"06/28/2021","DOC","LP","BDA","1",53397,14.096,1.762,"06/28/2021"
"06/28/2021","DOC","LP","BDA","2",59320,15.704,1.962,"06/28/2021"
"06/28/2021","DOC","LP","BDA","3",63586,16.862,2.108,"06/28/2021"
"06/28/2021","DOC","LP","REF","1",77601,20.666,2.583,"06/28/2021"
"06/28/2021","DOC","LP","REF","2",67971,18.052,2.257,"06/28/2021"
"06/28/2021","DOC","LP","REF","3",85260,22.745,2.843,"06/28/2021"
"06/29/2021","DOC","FH","BDA","1",144905,38.935,4.867,"06/28/2021"
"06/29/2021","DOC","FH","BDA","2",97353,26.028,3.253,"06/28/2021"
"06/29/2021","DOC","FH","BDA","3",40481,10.59,1.324,"06/28/2021"
"06/29/2021","DOC","FH","REF","1",100507,26.884,3.361,"06/28/2021"
"06/29/2021","DOC","FH","REF","2",48041,12.642,1.58,"06/28/2021"
"06/29/2021","DOC","FH","REF","3",98161,26.247,3.281,"06/28/2021"
"07/01/2021","DOC","TP","BDA","1",78273,20.849,2.606,"06/28/2021"
"07/01/2021","DOC","TP","BDA","2",80522,21.459,2.682,"06/28/2021"
"07/01/2021","DOC","TP","BDA","3",83811,22.352,2.793,"06/28/2021"
"07/01/2021","DOC","TP","REF","1",103960,27.821,3.478,"06/28/2021"
"07/01/2021","DOC","TP","REF","2",76702,20.422,2.553,"06/28/2021"
"07/01/2021","DOC","TP","REF","3",59533,15.762,1.97,"06/28/2021"
"07/12/2021","DOC","LP","BDA","1",66905,17.763,2.22,"07/12/2021"
"07/12/2021","DOC","LP","BDA","2",82772,22.07,2.759,"07/12/2021"
"07/12/2021","DOC","LP","BDA","3",89209,23.817,2.977,"07/12/2021"
"07/12/2021","DOC","LP","REF","1",69221,18.391,2.299,"07/12/2021"
"07/12/2021","DOC","LP","REF","2",77873,20.74,2.593,"07/12/2021"
"07/12/2021","DOC","LP","REF","3",66903,17.762,2.22,"07/12/2021"
"07/13/2021","DOC","FH","BDA","1",65042,17.257,2.157,"07/12/2021"
"07/13/2021","DOC","FH","BDA","2",75864,20.195,2.524,"07/12/2021"
"07/13/2021","DOC","FH","BDA","3",70953,18.862,2.358,"07/12/2021"
"07/13/2021","DOC","FH","REF","1",74635,19.861,2.483,"07/12/2021"
"07/13/2021","DOC","FH","REF","2",62831,16.657,2.082,"07/12/2021"
"07/13/2021","DOC","FH","REF","3",106190,28.426,3.553,"07/12/2021"
"07/15/2021","DOC","TP","BDA","1",68355,18.156,2.27,"07/12/2021"
"07/15/2021","DOC","TP","BDA","2",80477,21.447,2.681,"07/12/2021"
"07/15/2021","DOC","TP","BDA","3",32415,8.401,1.05,"07/12/2021"
"07/15/2021","DOC","TP","REF","1",86312,23.031,2.879,"07/12/2021"
"07/15/2021","DOC","TP","REF","2",76889,20.473,2.559,"07/12/2021"
"07/15/2021","DOC","TP","REF","3",57909,15.321,1.915,"07/12/2021"
"07/26/2021","DOC","LP","BDA","1",62838,16.659,2.082,"07/26/2021"
"07/26/2021","DOC","LP","BDA","2",69519,18.472,2.309,"07/26/2021"
"07/26/2021","DOC","LP","BDA","3",95254,25.458,3.182,"07/26/2021"
"07/26/2021","DOC","LP","REF","1",77710,20.696,2.586,"07/26/2021"
"07/26/2021","DOC","LP","REF","2",59659,15.796,1.975,"07/26/2021"
"07/26/2021","DOC","LP","REF","3",72122,19.179,2.397,"07/26/2021"
"07/27/2021","DOC","FH","BDA","1",54602,14.423,1.803,"07/26/2021"
"07/27/2021","DOC","FH","BDA","2",56414,14.915,1.864,"07/26/2021"
"07/27/2021","DOC","FH","BDA","3",56054,14.817,1.852,"07/26/2021"
"07/27/2021","DOC","FH","REF","1",65220,17.305,2.163,"07/26/2021"
"07/27/2021","DOC","FH","REF","2",56976,15.068,1.884,"07/26/2021"
"07/27/2021","DOC","FH","REF","3",145041,38.972,4.872,"07/26/2021"
"07/29/2021","DOC","TP","BDA","1",152830,41.086,5.136,"07/26/2021"
"07/29/2021","DOC","TP","BDA","2",142083,38.169,4.771,"07/26/2021"
"07/29/2021","DOC","TP","BDA","3",80902,21.562,2.695,"07/26/2021"
"07/29/2021","DOC","TP","REF","1",79972,21.31,2.664,"07/26/2021"
"07/29/2021","DOC","TP","REF","2",75199,20.014,2.502,"07/26/2021"
"07/29/2021","DOC","TP","REF","3",76959,20.492,2.562,"07/26/2021"
"08/09/2021","DOC","LP","BDA","1",62704,16.622,2.078,"08/09/2021"
"08/09/2021","DOC","LP","BDA","2",37966,9.907,1.238,"08/09/2021"
"08/09/2021","DOC","LP","BDA","3",56197,14.856,1.857,"08/09/2021"
"08/09/2021","DOC","LP","REF","1",70643,18.778,2.347,"08/09/2021"
"08/09/2021","DOC","LP","REF","2",68131,18.096,2.261,"08/09/2021"
"08/09/2021","DOC","LP","REF","3",74494,19.823,2.478,"08/09/2021"
"08/10/2021","DOC","FH","BDA","1",74373,19.79,2.474,"08/09/2021"
"08/10/2021","DOC","FH","BDA","2",67052,17.803,2.225,"08/09/2021"
"08/10/2021","DOC","FH","BDA","3",64001,16.975,2.122,"08/09/2021"
"08/10/2021","DOC","FH","REF","1",64168,17.02,2.128,"08/09/2021"
"08/10/2021","DOC","FH","REF","2",42932,11.256,1.407,"08/09/2021"
"08/10/2021","DOC","FH","REF","3",47160,12.403,1.55,"08/09/2021"
"08/12/2021","DOC","TP","BDA","1",64243,17.391,2.174,"08/09/2021"
"08/12/2021","DOC","TP","BDA","2",75159,20.442,2.555,"08/09/2021"
