Site,Location,Chamber,Date,Temp 1 (°C),Temp  2 (°C),Temp 3 (°C),Barometric Pressure (hPa)
LP,BDA,1,6/7/2021,25.5,23.3,24.4,967
LP,BDA,2,6/7/2021,24.8,24.5,25.4,967
LP,BDA,3,6/7/2021,9.9,11.3,25.4,967
LP,BDA,4,6/7/2021,25.4,23.8,25.2,967
LP,BDA,5,6/7/2021,13.3,16.7,19.6,967
LP,BDA,6,6/7/2021,17.1,15.2,18.3,967
LP,REF,7,6/7/2021,11.0,10.4,15.7,967
LP,REF,8,6/7/2021,10.4,10.0,15.5,967
LP,REF,9,6/7/2021,10.5,10.1,14.1,967
LP,REF,10,6/7/2021,11.2,14.9,14.3,967
LP,REF,11,6/7/2021,15.4,14.6,12.3,967
LP,REF,12,6/7/2021,25.3,20.1,22.1,967
FH,BDA,1,6/8/2021,14.6,15.2,16.7,982
FH,BDA,2,6/8/2021,22.1,22.3,26.6,982
FH,BDA,3,6/8/2021,17.8,20.8,23.6,982
FH,BDA,4,6/8/2021,24.0,25.2,26.3,982
FH,BDA,5,6/8/2021,23.0,24.1,25.8,982
FH,BDA,6,6/8/2021,25.6,27.7,29.2,982
FH,REF,7,6/8/2021,14.9,16.6,21.3,982
FH,REF,8,6/8/2021,14.0,15.4,16.3,982
FH,REF,9,6/8/2021,14.7,16.3,17.4,982
FH,REF,10,6/8/2021,13.2,14.5,17.4,982
FH,REF,11,6/8/2021,13.4,14.4,15.8,982
FH,REF,12,6/8/2021,14.3,14.7,16.2,982
TP,BDA,1,6/10/2021,6.1,6.6,6.3,971
TP,BDA,2,6/10/2021,6.6,7.0,6.8,971
TP,BDA,3,6/10/2021,6.3,7.0,6.7,971
TP,BDA,4,6/10/2021,6.6,7.0,6.6,971
TP,BDA,5,6/10/2021,6.6,7.1,6.9,971
TP,BDA,6,6/10/2021,6.1,6.5,6.5,971
TP,REF,7,6/10/2021,5.8,6.7,6.9,971
TP,REF,8,6/10/2021,5.8,6.8,7.0,971
TP,REF,9,6/10/2021,5.6,6.8,6.8,971
TP,REF,10,6/10/2021,5.4,6.1,6.1,971
TP,REF,11,6/10/2021,5.2,5.8,5.8,971
TP,REF,12,6/10/2021,4.9,5.8,5.6,971
LP,BDA,1,6/14/2021,27.6,29.2,30.9,997
LP,BDA,2,6/14/2021,27.3,28.1,29.6,997
LP,BDA,3,6/14/2021,27.2,21.7,19.1,997
LP,BDA,4,6/14/2021,21.6,25.8,29.3,997
LP,BDA,5,6/14/2021,15.9,15.7,15.9,997
LP,BDA,6,6/14/2021,22.7,27.1,23.5,997
LP,REF,7,6/14/2021,20.3,20.3,18.8,997
LP,REF,8,6/14/2021,21.8,19.4,19.0,997
LP,REF,9,6/14/2021,18.5,19.2,18.2,997
LP,REF,10,6/14/2021,18.1,17.5,17.4,997
LP,REF,11,6/14/2021,17.8,21.5,26.8,997
