HydraGO Serial,HydraProbe Serial,Timestamp,Location,Latitude,Longitude,Soil Moisture (wfv),Soil Moisture (%),Soil Temperature (C),Soil Temperature (F),Bulk EC(Raw) (dS/m),Bulk EC(TC) (dS/m),Pore Water EC (dS/m),Pore Water EC Offset,Raw Real Dielectric,Raw Imaginary Dielectric,Loss Tangent
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076734,-113.454637,0.4,40,+18.9,+66.1,0.24,0.26,0.82,3.4,+28.182,+8.686,0.31
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.07722,-113.45356,0.45,45,+19.1,+66.4,0.3,0.32,0.84,3.4,+33.280,+10.675,0.32
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.077068,-113.4541,0.337,33.7,+19.3,+66.8,0.16,0.18,0.74,3.4,+22.427,+5.935,0.26
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.077183,-113.453934,0.51,51,+19.5,+67.1,0.5,0.54,1.16,3.4,+39.962,+18.057,0.45
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.07697,-113.454002,0.647,64.7,+19.7,+67.5,0.57,0.62,0.9,3.4,+57.463,+20.629,0.36
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076978,-113.454083,0.581,58.1,+19.7,+67.5,0.39,0.42,0.73,3.4,+48.636,+14.130,0.29
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.077076,-113.454242,0.631,63.1,+19.7,+67.5,0.4,0.43,0.65,3.4,+55.223,+14.503,0.26
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076739,-113.454629,0.658,65.8,+19.7,+67.5,0.42,0.46,0.65,3.4,+58.984,+15.281,0.26
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076754,-113.454655,0.545,54.5,+19.7,+67.5,0.32,0.34,0.66,3.4,+44.145,+11.436,0.26
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076733,-113.454736,0.195,19.5,+19.7,+67.5,0.08,0.09,0.85,3.4,+11.760,+2.866,0.24
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076651,-113.454749,0.663,66.3,+19.5,+67.1,0.46,0.5,0.7,3.4,+59.639,+16.640,0.28
HG268352,267806,6/7/2021,Blackfoot - Lost Prairie,47.076647,-113.454585,0.568,56.8,+19.3,+66.8,0.48,0.51,0.92,3.4,+46.908,+17.117,0.36
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934657,-113.354886,0.284,28.4,+14.7,+58.5,0.4,0.47,2.52,3.4,+18.068,+14.353,0.79
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.93471,-113.354785,0.462,46.2,+16.5,+61.7,0.46,0.52,1.31,3.4,+34.621,+16.374,0.47
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.9346,-113.354963,0.233,23.3,+16.7,+62.0,0.23,0.27,1.95,3.4,+14.260,+8.305,0.58
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934868,-113.355064,0.553,55.3,+18.0,+64.5,0.47,0.53,1,3.4,+45.120,+16.764,0.37
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934888,-113.354808,0.572,57.2,+18.0,+64.5,0.6,0.68,1.21,3.4,+47.524,+21.591,0.45
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934807,-113.355089,0.308,30.8,+18.6,+65.4,0.44,0.48,2.28,3.4,+19.936,+15.652,0.79
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934874,-113.354999,0.482,48.2,+21.3,+70.3,0.51,0.55,1.29,3.4,+36.797,+18.292,0.5
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934557,-113.354567,0.476,47.6,+21.5,+70.7,0.61,0.66,1.58,3.4,+36.144,+21.977,0.61
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934351,-113.354227,0.339,33.9,+21.7,+71.1,0.27,0.29,1.19,3.4,+22.595,+9.859,0.44
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934351,-113.354227,0.337,33.7,+21.9,+71.5,0.27,0.29,1.2,3.4,+22.439,+9.760,0.43
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934542,-113.354243,0.434,43.4,+21.9,+71.5,0.34,0.36,1,3.4,+31.582,+12.406,0.39
HG268352,267806,6/8/2021,Blackfoot - Fish Creek,46.934423,-113.354148,0.396,39.6,+21.7,+71.1,0.24,0.25,0.8,3.4,+27.802,+8.578,0.31
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.782052,-114.525412,0.662,66.2,+9.1,+48.4,0.35,0.45,0.63,3.4,+59.520,+12.638,0.21
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.781969,-114.525293,0.615,61.5,+8.8,+47.8,0.32,0.41,0.65,3.4,+53.036,+11.548,0.22
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.781839,-114.525485,0.57,57,+8.5,+47.3,0.35,0.45,0.81,3.4,+47.217,+12.410,0.26
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.781911,-114.525428,0.604,60.4,+8.3,+46.9,0.42,0.55,0.89,3.4,+51.646,+15.190,0.29
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.78204,-114.525557,0.655,65.5,+8.3,+46.9,0.41,0.53,0.76,3.4,+58.503,+14.678,0.25
HG268352,267806,6/10/2021,Lolo - Teepee Creek,46.78205,-114.524458,0.721,72.1,+8.2,+46.7,0.4,0.53,0.64,3.4,+68.214,+14.509,0.21
