"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",38,"2021-08-26",592.79307849,-20.2279561829722,6.28456915406667,-56.1386544776667,"FH","LWR","BDA",573.403447538148,6.46681473587778,-19.9990614559167,-56.2219691098889
"2",39,"2021-08-26",567.344617007778,-19.5554969453333,6.71758955335556,-56.5737444488889,"FH","LWR","BDA",573.403447538148,6.46681473587778,-19.9990614559167,-56.2219691098889
"3",40,"2021-08-26",560.072647116667,-20.2137312394444,6.39828550021111,-55.9535084031111,"FH","LWR","BDA",573.403447538148,6.46681473587778,-19.9990614559167,-56.2219691098889
"4",41,"2021-08-26",546.367013841111,-20.1477785578333,8.33880262582222,-58.6557792045556,"FH","MID","BDA",543.834023729259,8.66784826714444,-20.4361044218148,-58.2539354877778
"5",42,"2021-08-26",544.288922248889,-20.4018089701667,8.91717126337778,-57.8921878782222,"FH","MID","BDA",543.834023729259,8.66784826714444,-20.4361044218148,-58.2539354877778
"6",43,"2021-08-26",540.846135097778,-20.7587257374444,8.74757091223333,-58.2138393805556,"FH","MID","BDA",543.834023729259,8.66784826714444,-20.4361044218148,-58.2539354877778
"7",44,"2021-08-26",536.462703812222,-19.9782118896667,3.4653922836,-57.4907109922222,"FH","UPR","BDA",532.946726044444,3.26299169922593,-20.0536992328056,-58.2819621237407
"8",45,"2021-08-26",526.181397037778,-20.6497788260833,3.24930178266667,-60.5274714074444,"FH","UPR","BDA",532.946726044444,3.26299169922593,-20.0536992328056,-58.2819621237407
"9",46,"2021-08-26",536.196077283333,-19.5331069826667,3.07428103141111,-56.8277039715556,"FH","UPR","BDA",532.946726044444,3.26299169922593,-20.0536992328056,-58.2819621237407
"10",47,"2021-08-26",520.512688243333,-20.0385883571667,1.7792588246,-55.2309634615556,"FH","LWR","REF",522.260480387037,1.76374782728519,-20.1806480263981,-55.2182819252222
"11",48,"2021-08-26",514.772193362222,-19.6322274899722,1.77811252681111,-54.5040089906667,"FH","LWR","REF",522.260480387037,1.76374782728519,-20.1806480263981,-55.2182819252222
"12",49,"2021-08-26",531.496559555556,-20.8711282320556,1.73387213044444,-55.9198733234444,"FH","LWR","REF",522.260480387037,1.76374782728519,-20.1806480263981,-55.2182819252222
"13",50,"2021-08-26",530.802833802222,-19.8767178151389,1.88007819794444,-56.3318708341111,"FH","MID","REF",522.466418791481,1.92901775954074,-20.0216842973611,-56.0004459178519
"14",51,"2021-08-26",512.341437988889,-20.0101737690278,1.99767234598889,-55.7265352247778,"FH","MID","REF",522.466418791481,1.92901775954074,-20.0216842973611,-56.0004459178519
"15",52,"2021-08-26",524.254984583333,-20.1781613079167,1.90930273468889,-55.9429316946667,"FH","MID","REF",522.466418791481,1.92901775954074,-20.0216842973611,-56.0004459178519
"16",53,"2021-08-26",531.475208533333,-20.2758454501944,2.2291050663,-56.6581899323333,"FH","UPR","REF",533.792530967037,2.31235674343704,-19.9977642509815,-57.0396891072963
"17",54,"2021-08-26",528.853092478889,-20.1388009546389,2.41360945982222,-57.8952887188889,"FH","UPR","REF",533.792530967037,2.31235674343704,-19.9977642509815,-57.0396891072963
"18",55,"2021-08-26",541.049291888889,-19.5786463481111,2.29435570418889,-56.5655886706667,"FH","UPR","REF",533.792530967037,2.31235674343704,-19.9977642509815,-57.0396891072963
