"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",1,"2021-07-27",667.341497324445,-19.2703325279167,7.23229928716667,-65.9837940862222,"FH","LWR","BDA",662.09764970963,7.4352263917,-19.7334715581852,-61.3463852392963
"2",2,"2021-07-27",649.502555715556,-19.9378008296944,7.58435135425556,-59.7139020796667,"FH","LWR","BDA",662.09764970963,7.4352263917,-19.7334715581852,-61.3463852392963
"3",3,"2021-07-27",669.448896088889,-19.9922813169444,7.48902853367778,-58.341459552,"FH","LWR","BDA",662.09764970963,7.4352263917,-19.7334715581852,-61.3463852392963
"4",4,"2021-07-27",636.515260403333,-20.4334992686111,10.1333609871111,-61.1296090794444,"FH","MID","BDA",646.078752441852,10.0227127771296,-19.9671504108611,-59.9842262632222
"5",5,"2021-07-27",640.886122197778,-19.9544618086944,9.96094465941111,-59.4256274853333,"FH","MID","BDA",646.078752441852,10.0227127771296,-19.9671504108611,-59.9842262632222
"6",6,"2021-07-27",660.834874724444,-19.5134901552778,9.97383268486667,-59.3974422248889,"FH","MID","BDA",646.078752441852,10.0227127771296,-19.9671504108611,-59.9842262632222
"7",7,"2021-07-27",616.907730382222,-19.9182101435278,4.08293978748889,-59.3246267904444,"FH","UPR","BDA",619.145243154815,4.09350021925926,-19.8716089675278,-59.9068039796296
"8",8,"2021-07-27",624.448719553333,-19.8624212065556,4.09450309955556,-60.8977052692222,"FH","UPR","BDA",619.145243154815,4.09350021925926,-19.8716089675278,-59.9068039796296
"9",9,"2021-07-27",616.079279528889,-19.8341955525,4.10305777073333,-59.4980798792222,"FH","UPR","BDA",619.145243154815,4.09350021925926,-19.8716089675278,-59.9068039796296
"10",10,"2021-07-27",568.802519118889,-19.0037666878056,1.93533787132222,-55.745639175,"FH","LWR","REF",613.597257802963,1.91181290215926,-19.2514075960556,-61.7807104317407
"11",11,"2021-07-27",626.9358871,-18.3804730546111,1.95895899701111,-71.1243212203333,"FH","LWR","REF",613.597257802963,1.91181290215926,-19.2514075960556,-61.7807104317407
"12",12,"2021-07-27",645.05336719,-20.36998304575,1.84114183814444,-58.4721708998889,"FH","LWR","REF",613.597257802963,1.91181290215926,-19.2514075960556,-61.7807104317407
"13",13,"2021-07-27",609.137195164445,-19.8730272390556,2.02234063917778,-58.363808259,"FH","MID","REF",600.621058635926,2.08584164003704,-19.7045963206204,-70.0421647491481
"14",14,"2021-07-27",591.711605721111,-19.5167317101111,2.113511178,-57.7872989166667,"FH","MID","REF",600.621058635926,2.08584164003704,-19.7045963206204,-70.0421647491481
"15",15,"2021-07-27",601.014375022222,-19.7240300126944,2.12167310293333,-93.9753870717778,"FH","MID","REF",600.621058635926,2.08584164003704,-19.7045963206204,-70.0421647491481
"16",16,"2021-07-27",626.654453525556,-18.9785616329167,2.37202429511111,-72.034110648,"FH","UPR","REF",616.617213252222,2.3101006974,-19.0871667448056,-64.1628048758518
"17",17,"2021-07-27",619.866622403333,-19.1970545785556,2.16913442174444,-61.3715031897778,"FH","UPR","REF",616.617213252222,2.3101006974,-19.0871667448056,-64.1628048758518
"18",18,"2021-07-27",603.330563827778,-19.0858840229444,2.38914337534444,-59.0828007897778,"FH","UPR","REF",616.617213252222,2.3101006974,-19.0871667448056,-64.1628048758518
