"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","Location","Design","Triplicate_CO2_avg","Triplicate_CH4_avg","Triplicate_delta_CO2_avg","Triplicate_delta_CH4"
"1",51,"2021-06-14",3527.10844145556,-21.33909192125,4.86636841467778,-50.5523749458889,"LP","LWR","BDA",3594.75258734074,4.75646873466296,-21.2755329548981,-50.6465659468889
"2",52,"2021-06-14",3663.91701371111,-21.3617218501944,4.67532516675556,-49.7314125877778,"LP","LWR","BDA",3594.75258734074,4.75646873466296,-21.2755329548981,-50.6465659468889
"3",53,"2021-06-14",3593.23230685556,-21.12578509325,4.72771262255556,-51.655910307,"LP","LWR","BDA",3594.75258734074,4.75646873466296,-21.2755329548981,-50.6465659468889
"4",54,"2021-06-14",3894.75163404444,-21.5142451917778,7.66484905635556,-55.8850503936667,"LP","MID","BDA",4159.05314161482,7.98643514384444,-21.4508159513241,-56.069904171037
"5",55,"2021-06-14",4179.25075852222,-21.4624385068611,8.08584405611111,-55.9876839471111,"LP","MID","BDA",4159.05314161482,7.98643514384444,-21.4508159513241,-56.069904171037
"6",56,"2021-06-14",4403.15703227778,-21.3757641553333,8.20861231906667,-56.3369781723333,"LP","MID","BDA",4159.05314161482,7.98643514384444,-21.4508159513241,-56.069904171037
"7",57,"2021-06-14",3056.5927354,-21.3608644384722,0.961883292173333,-45.7339115627778,"LP","UPR","BDA",2940.19571837037,0.722802832384074,-21.4218414458889,-28.0933288388563
"8",58,"2021-06-14",2788.87480011111,-21.461408771,0.60749768963,-15.9835591200244,"LP","UPR","BDA",2940.19571837037,0.722802832384074,-21.4218414458889,-28.0933288388563
"9",59,"2021-06-14",2975.1196196,-21.4432511281944,0.599027515348889,-22.5625158337667,"LP","UPR","BDA",2940.19571837037,0.722802832384074,-21.4218414458889,-28.0933288388563
"10",60,"2021-06-14",4696.16346055556,-21.8906658770833,2.83630719438889,-59.7776112461111,"LP","LWR","REF",4919.59624428148,2.91425568782222,-22.1279258583704,-61.7433044908889
"11",61,"2021-06-14",5034.19073974444,-22.2259043711944,3.02541446402222,-63.075482873,"LP","LWR","REF",4919.59624428148,2.91425568782222,-22.1279258583704,-61.7433044908889
"12",62,"2021-06-14",5028.43453254444,-22.2672073268333,2.88104540505556,-62.3768193535556,"LP","LWR","REF",4919.59624428148,2.91425568782222,-22.1279258583704,-61.7433044908889
"13",63,"2021-06-14",4289.67419493333,-22.2590352843056,3.09768040091111,-62.5847847235556,"LP","MID","REF",4391.08987658148,3.21317635813333,-22.3772602755463,-62.7229366377037
"14",64,"2021-06-14",4365.5742611,-22.5123480404167,3.25322474946667,-63.3074219486667,"LP","MID","REF",4391.08987658148,3.21317635813333,-22.3772602755463,-62.7229366377037
"15",65,"2021-06-14",4518.02117371111,-22.3603975019167,3.28862392402222,-62.2766032408889,"LP","MID","REF",4391.08987658148,3.21317635813333,-22.3772602755463,-62.7229366377037
"16",66,"2021-06-14",5213.88603121111,-23.0900551516667,3.31493048301111,-64.7606880877778,"LP","UPR","REF",5312.12749742222,3.31620563886296,-23.0266583455741,-63.1184852862593
"17",67,"2021-06-14",5309.35830883333,-22.9503909103889,3.28517901057778,-65.1058790308889,"LP","UPR","REF",5312.12749742222,3.31620563886296,-23.0266583455741,-63.1184852862593
"18",68,"2021-06-14",5413.13815222222,-23.0395289746667,3.348507423,-59.4888887401111,"LP","UPR","REF",5312.12749742222,3.31620563886296,-23.0266583455741,-63.1184852862593
"19",78,"2021-06-15",636.41186617,-17.5086927422222,4.40084305246667,-52.5256436271111,"FH","LWR","BDA",636.610005418889,4.38838684557778,-17.6964960730278,-52.8512097001852
"20",79,"2021-06-15",656.124433463333,-17.9487193900278,4.42758888208889,-52.7286787113333,"FH","LWR","BDA",636.610005418889,4.38838684557778,-17.6964960730278,-52.8512097001852
"21",80,"2021-06-15",617.293716623333,-17.6320760868333,4.33672860217778,-53.2993067621111,"FH","LWR","BDA",636.610005418889,4.38838684557778,-17.6964960730278,-52.8512097001852
"22",81,"2021-06-15",572.953400181111,-17.9754127112222,6.70983025797778,-54.7539819113333,"FH","MID","BDA",618.119893794444,6.74858963225556,-17.9480199301852,-54.4818356521481
"23",82,"2021-06-15",640.73263943,-18.1120621245278,6.64485431145556,-53.8525387243333,"FH","MID","BDA",618.119893794444,6.74858963225556,-17.9480199301852,-54.4818356521481
"24",83,"2021-06-15",640.673641772222,-17.7565849548056,6.89108432733333,-54.8389863207778,"FH","MID","BDA",618.119893794444,6.74858963225556,-17.9480199301852,-54.4818356521481
"25",84,"2021-06-15",594.588952691111,-17.1970274889167,1.98722580505556,-50.2523782198889,"FH","UPR","BDA",585.056775676296,1.88964901845185,-16.0763010655093,-50.5048422001852
"26",85,"2021-06-15",575.570515284444,-14.3392889661111,2.16630581266667,-51.1731943814444,"FH","UPR","BDA",585.056775676296,1.88964901845185,-16.0763010655093,-50.5048422001852
"27",86,"2021-06-15",585.010859053333,-16.6925867415,1.51541543763333,-50.0889539992222,"FH","UPR","BDA",585.056775676296,1.88964901845185,-16.0763010655093,-50.5048422001852
"28",87,"2021-06-15",560.666114256667,-17.3751917404444,1.27389462887778,-52.1557498934444,"FH","LWR","REF",566.706783187407,1.2949728847963,-17.0833761490648,-48.8098998241111
"29",88,"2021-06-15",582.463456553333,-17.0500404487222,1.3165457091,-47.9546755407778,"FH","LWR","REF",566.706783187407,1.2949728847963,-17.0833761490648,-48.8098998241111
