"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",19,"2021-08-12",722.63167123,-15.7535849336389,2.03194391788889,-45.6215696952222,"TP",1,"BDA"
"2",20,"2021-08-12",1467.47894832222,-21.5331316289167,1.95083806316667,-40.8859173394444,"TP",1,"BDA"
"3",21,"2021-08-12",1798.75285465556,-22.9624085608056,1.88046070647778,-41.1327812031111,"TP",1,"BDA"
"4",22,"2021-08-12",748.819218506667,-16.0201433576111,2.20123008856667,-49.5406073476667,"TP",2,"BDA"
"5",23,"2021-08-12",1249.83032466667,-20.2526128486111,2.24033111106667,-47.9978930118889,"TP",2,"BDA"
"6",24,"2021-08-12",1526.37612116667,-21.1399395623333,2.19714162442222,-48.7891335698889,"TP",2,"BDA"
"7",25,"2021-08-12",927.998914606667,-18.1980035745833,1.97598458283333,-40.5382415454444,"TP",3,"BDA"
"8",26,"2021-08-12",1860.79969452222,-22.9615608773333,1.88730166597778,-41.7620708767778,"TP",3,"BDA"
"9",27,"2021-08-12",2283.52029563333,-23.6195280996944,1.80376111228889,-39.6396085467778,"TP",3,"BDA"
"10",28,"2021-08-12",1144.90603702222,-18.9549697294444,2.24509455747778,-44.5019963532222,"TP",4,"BDA"
"11",29,"2021-08-12",2477.81992525556,-22.8390343436944,2.08916405615556,-42.6864534308889,"TP",4,"BDA"
"12",30,"2021-08-12",2969.8477935,-23.2923797533889,1.92260268102222,-42.0281504927778,"TP",4,"BDA"
"13",31,"2021-08-12",788.201573385556,-17.2475575457222,2.49675107476667,-52.6080257507778,"TP",5,"BDA"
"14",32,"2021-08-12",1469.47628358889,-21.867191726,3.60738701487778,-60.8061472017778,"TP",5,"BDA"
"15",33,"2021-08-12",2155.17298905556,-22.0929535155833,4.78073884347778,-61.9673855743333,"TP",5,"BDA"
"16",34,"2021-08-12",792.208659336667,-17.3189816369444,2.15242068252222,-42.0905004211111,"TP",6,"BDA"
"17",35,"2021-08-12",1358.72125715556,-21.5038380334722,2.0892759938,-39.5013449426667,"TP",6,"BDA"
"18",36,"2021-08-12",1596.91494562222,-22.0683793878333,1.99509347791111,-40.3810900431111,"TP",6,"BDA"
"19",37,"2021-08-12",597.162113823333,-14.1485187590833,1.89070210954444,-35.5751687436667,"TP",7,"REF"
"20",38,"2021-08-12",1383.73113868889,-21.5753764076944,1.94291272332222,-39.9975162881111,"TP",7,"REF"
"21",39,"2021-08-12",1920.80516582222,-23.14469771075,1.97302060278889,-41.2766400187778,"TP",7,"REF"
"22",40,"2021-08-12",630.9261267,-14.8685642855833,1.99550167247778,-36.733362068,"TP",8,"REF"
"23",41,"2021-08-12",1177.80233515556,-20.9378157973333,2.52891702731111,-48.0689237136667,"TP",8,"REF"
"24",42,"2021-08-12",1612.68737722222,-23.0586113216667,2.9737271832,-51.9198661194444,"TP",8,"REF"
"25",43,"2021-08-12",571.389428374444,-13.3671357357778,1.94319002426667,-24.2086453471111,"TP",9,"REF"
"26",44,"2021-08-12",897.188327685556,-18.69610589725,2.13757909228889,-41.4733376566667,"TP",9,"REF"
"27",45,"2021-08-12",1168.74373901111,-21.0397178714722,2.31055982253333,-35.5764081754444,"TP",9,"REF"
"28",46,"2021-08-12",612.981914532222,-14.07200355225,1.89598102195556,-39.8869580311111,"TP",10,"REF"
"29",47,"2021-08-12",1251.66808831111,-19.1599511488889,1.90166263151111,-41.0329153112222,"TP",10,"REF"
"30",48,"2021-08-12",1835.20190552222,-21.3190709884444,1.91300423668889,-40.4670647016667,"TP",10,"REF"
"31",49,"2021-08-12",636.315275755556,-14.5535980451944,1.9203552009,-36.978024989,"TP",11,"REF"
"32",50,"2021-08-12",1418.72049578889,-19.8628079998056,1.94279386114444,-30.85178303,"TP",11,"REF"
"33",51,"2021-08-12",2193.09522351111,-21.6927839384722,1.96637371791111,-33.617384969,"TP",11,"REF"
"34",52,"2021-08-12",645.372810751111,-14.7589643943611,1.8967872858,-36.0651000591111,"TP",12,"REF"
"35",53,"2021-08-12",1575.88567661111,-21.5221948905556,1.90847483073333,-48.847306673,"TP",12,"REF"
"36",54,"2021-08-12",2162.3199892,-22.8957251388333,1.92547886128889,-34.8981860284444,"TP",12,"REF"
