"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",19,"2021-07-15",789.494006512222,-17.7422556416111,2.03784253128889,-31.214401864,"TP",1,"BDA"
"2",20,"2021-07-15",1465.73190251111,-22.1513881387222,2.04534559501111,-30.7005331645556,"TP",1,"BDA"
"3",21,"2021-07-15",1985.73000516667,-23.2531092156944,2.04617865655556,-37.1512846806667,"TP",1,"BDA"
"4",22,"2021-07-15",1019.37024232222,-18.8504535511389,2.22377316501111,-39.1792167885556,"TP",2,"BDA"
"5",23,"2021-07-15",1693.6186127,-21.2037664431111,2.65541839396667,-43.6413315734444,"TP",2,"BDA"
"6",24,"2021-07-15",2063.11552125556,-21.3406597721389,2.91181630171111,-46.65773439,"TP",2,"BDA"
"7",25,"2021-07-15",1069.75760776667,-19.0479699985278,2.04476512114444,-34.8731334728889,"TP",3,"BDA"
"8",26,"2021-07-15",2256.38237037778,-22.4701925781944,1.99343572532222,-35.4994870007778,"TP",3,"BDA"
"9",27,"2021-07-15",3142.96832256667,-22.6744105392222,1.94943469945556,-35.0019317158889,"TP",3,"BDA"
"10",28,"2021-07-15",907.920444914444,-17.3067665799167,1.96889049014444,-31.5258626604444,"TP",4,"BDA"
"11",29,"2021-07-15",1988.47913775556,-20.1739574662778,1.89849001148889,-30.792983384,"TP",4,"BDA"
"12",30,"2021-07-15",2908.92434988889,-21.2799959561389,1.84660084855556,-28.3909101556667,"TP",4,"BDA"
"13",31,"2021-07-15",1024.72015433333,-18.420542429,2.94470636534444,-49.1386493172222,"TP",5,"BDA"
"14",32,"2021-07-15",1654.41384293333,-20.1555950599444,4.55091242128889,-59.2563621223333,"TP",5,"BDA"
"15",33,"2021-07-15",2212.13431166667,-20.72293560525,5.94930532151111,-63.0096458988889,"TP",5,"BDA"
"16",34,"2021-07-15",752.716832517778,-16.5786782203056,2.05806632703333,-31.3604704105556,"TP",6,"BDA"
"17",35,"2021-07-15",1410.40463386667,-19.4167960099167,1.98922674022222,-31.3595059895556,"TP",6,"BDA"
"18",36,"2021-07-15",1934.62539974444,-19.8836507893889,1.94189461392222,-35.8853783065556,"TP",6,"BDA"
"19",37,"2021-07-15",879.021313248889,-18.3806899619444,1.98406767596667,-34.7095720451111,"TP",7,"REF"
"20",38,"2021-07-15",1778.10150783333,-22.49224996875,2.04106322123333,-38.1996266445556,"TP",7,"REF"
"21",39,"2021-07-15",2233.61654372222,-23.0239538477222,2.07202567935556,-36.5528926556667,"TP",7,"REF"
"22",40,"2021-07-15",721.469921158889,-16.8795067785556,2.21793672295556,-38.8377762857778,"TP",8,"REF"
"23",41,"2021-07-15",1513.61185267778,-22.5921789143889,3.00781478264444,-48.9231191483333,"TP",8,"REF"
"24",42,"2021-07-15",1920.83153911111,-23.3123822813056,3.46317527377778,-51.651984728,"TP",8,"REF"
"25",43,"2021-07-15",653.129211893333,-15.993246375,2.2467899449,-29.983023116,"TP",9,"REF"
"26",44,"2021-07-15",1171.96951955556,-19.5219843695556,2.97139406232222,-45.3515184771111,"TP",9,"REF"
"27",45,"2021-07-15",1672.18739341111,-20.8295419967778,3.63088248047778,-43.41779908,"TP",9,"REF"
"28",46,"2021-07-15",764.188380485556,-17.2010168843333,1.97461552285556,-40.7770682131111,"TP",10,"REF"
"29",47,"2021-07-15",1523.81342917778,-21.6472847696389,1.9800215872,-32.5805142416667,"TP",10,"REF"
"30",48,"2021-07-15",2132.75127754444,-23.0717361229167,1.99378788952222,-37.9952662876667,"TP",10,"REF"
"31",49,"2021-07-15",826.712179458889,-18.196943303,2.00709248198889,-32.7665308376667,"TP",11,"REF"
"32",50,"2021-07-15",1907.83008721111,-22.8592059990833,2.12676608462222,-29.1444349048889,"TP",11,"REF"
"33",51,"2021-07-15",2804.24273546667,-24.3516578249167,2.22815803633333,-39.0387256193333,"TP",11,"REF"
"34",52,"2021-07-15",899.120560278889,-17.8594546761944,2.00668824217778,-29.6177635788889,"TP",12,"REF"
"35",53,"2021-07-15",1827.94641941111,-22.2821616092778,2.09615958153333,-50.1134008365556,"TP",12,"REF"
"36",54,"2021-07-15",2684.8556168,-23.3588330962222,2.19266994406667,-29.9026192072222,"TP",12,"REF"
