"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",5,"2021-06-07",658.601208225556,-15.5960877063333,2.51609665641111,-55.123091472,"LP",1,"BDA"
"2",6,"2021-06-07",946.495329288889,-16.5316815807222,3.8265370488,-56.4001149671111,"LP",1,"BDA"
"3",7,"2021-06-07",1184.76217255556,-16.5708155160278,5.046983076,-61.6288571821111,"LP",1,"BDA"
"4",8,"2021-06-07",754.821284266667,-17.4241149010278,2.04141852163333,-38.2517042336667,"LP",2,"BDA"
"5",9,"2021-06-07",1234.12982481111,-20.5681081471944,2.03875229153333,-53.367879152,"LP",2,"BDA"
"6",10,"2021-06-07",1633.05086863333,-21.5693571033611,2.10461428797778,-39.1207990105556,"LP",2,"BDA"
"7",11,"2021-06-07",675.689794846667,-16.8936204994444,2.40477796294444,-52.627553057,"LP",3,"BDA"
"8",12,"2021-06-07",955.353701257778,-19.3361668545833,3.26489624613333,-63.6830142076667,"LP",3,"BDA"
"9",13,"2021-06-07",1285.30855793333,-20.43413554525,3.9083924723,-68.0450059904445,"LP",3,"BDA"
"10",14,"2021-06-07",747.318245796667,-15.8851256028333,2.2512823505,-36.8292735693333,"LP",4,"BDA"
"11",15,"2021-06-07",1092.44598763333,-17.5375281393889,2.6763103543,-53.5737923628889,"LP",4,"BDA"
"12",16,"2021-06-07",1374.81350905556,-18.2740309216944,3.08136688877778,-56.8933516731111,"LP",4,"BDA"
"13",17,"2021-06-07",427.854600882222,-10.4211271456833,2.09252517014444,-45.6224002577778,"LP",5,"BDA"
"14",18,"2021-06-07",426.160010091111,-11.1852959919444,2.37735909031111,-53.4930050687778,"LP",5,"BDA"
"15",19,"2021-06-07",492.47492482,-12.4525498869722,2.83691891201111,-59.675203613,"LP",5,"BDA"
"16",20,"2021-06-07",594.054233116667,-15.3561141684167,1.95446587822222,-41.114546726,"LP",6,"BDA"
"17",21,"2021-06-07",752.798349675556,-17.3542205601389,2.0368530393,-47.8319362835556,"LP",6,"BDA"
"18",22,"2021-06-07",917.471048644444,-18.59583254275,2.1142143166,-53.4902110298889,"LP",6,"BDA"
"19",23,"2021-06-07",605.244846993333,-16.3030088121944,1.92841230361111,-39.6541266767778,"LP",7,"REF"
"20",24,"2021-06-07",860.943318864444,-19.6383181280833,1.98645055392222,-44.4216876361111,"LP",7,"REF"
"21",25,"2021-06-07",1128.06139218889,-21.6460852671111,2.04057712147778,-42.4425294304444,"LP",7,"REF"
"22",26,"2021-06-07",633.830814962222,-16.7806307880556,2.40098417427778,-47.8095376757778,"LP",8,"REF"
"23",27,"2021-06-07",927.393198255555,-19.8618076829722,3.37233593981111,-57.2303217832222,"LP",8,"REF"
"24",29,"2021-06-07",1127.38904798889,-20.5833995186944,4.25645078461111,-62.3958334018889,"LP",8,"REF"
"25",30,"2021-06-07",666.084456586667,-16.6832532322222,5.78059175592222,-64.9445612661111,"LP",9,"REF"
"26",31,"2021-06-07",835.326985081111,-18.6731191439444,10.3898151837778,-65.7846631314444,"LP",9,"REF"
"27",32,"2021-06-07",1018.67711847778,-20.1218334229167,14.1508933673333,-66.7381719225556,"LP",9,"REF"
"28",33,"2021-06-07",608.826213515556,-16.4706690442222,1.94444529806667,-39.2472524162222,"LP",10,"REF"
"29",34,"2021-06-07",891.232712115556,-20.3131052852222,1.83297621321111,-35.2228983114444,"LP",10,"REF"
"30",35,"2021-06-07",1125.03527297778,-21.8965368846389,1.79625855382222,-37.539033441,"LP",10,"REF"
"31",36,"2021-06-07",602.79982342,-15.7889637434722,2.07723990012222,-38.9810107955556,"LP",11,"REF"
"32",37,"2021-06-07",762.699623506667,-17.5155722644167,2.40337645635556,-45.3223830118889,"LP",11,"REF"
"33",38,"2021-06-07",924.226720575556,-19.3962855639167,2.64256647762222,-48.2946944481111,"LP",11,"REF"
"34",39,"2021-06-07",700.294427924444,-17.1876211102778,2.11474537767778,-42.0649124838889,"LP",12,"REF"
"35",40,"2021-06-07",970.072961188889,-19.4621677309444,2.44595069803333,-48.0310131138889,"LP",12,"REF"
"36",41,"2021-06-07",1212.07708738889,-20.3006925595278,2.74467219183333,-52.0010618415556,"LP",12,"REF"
"37",45,"2021-06-08",501.229411263333,-13.5379733007222,1.92698624203333,-36.1721436931111,"FH",1,"BDA"
"38",46,"2021-06-08",705.725394761111,-18.1311346602222,1.91251005334444,-37.4849377687778,"FH",1,"BDA"
"39",47,"2021-06-08",912.260683862222,-20.15059710625,1.89645501137778,-37.5007337274444,"FH",1,"BDA"
"40",48,"2021-06-08",559.62362758,-14.6593105618889,1.97031766971111,-39.6513415252222,"FH",2,"BDA"
"41",49,"2021-06-08",879.931671743333,-19.2290845081667,1.97016027757778,-41.0725081643333,"FH",2,"BDA"
"42",50,"2021-06-08",1174.23179714444,-20.9713192792222,1.95436660602222,-41.262193085,"FH",2,"BDA"
"43",51,"2021-06-08",548.367439194444,-14.1916195599444,1.95450086938889,-39.5779805011111,"FH",3,"BDA"
"44",52,"2021-06-08",744.717848484444,-17.5891575449444,1.9172586794,-43.0434526481111,"FH",3,"BDA"
"45",53,"2021-06-08",930.745432173333,-19.5780419182222,1.87829774193333,-38.7367362635556,"FH",3,"BDA"
"46",54,"2021-06-08",585.372481082222,-15.4650340744722,1.9843837449,-51.5028275965556,"FH",4,"BDA"
"47",55,"2021-06-08",905.718812406667,-18.65800968475,2.09126775301111,-44.754727173,"FH",4,"BDA"
"48",56,"2021-06-08",1197.36317256667,-20.1811618083611,2.18147999924444,-43.9629680194444,"FH",4,"BDA"
"49",57,"2021-06-08",625.812617041111,-16.3675643330833,1.94021195471111,-45.3126344664444,"FH",5,"BDA"
"50",58,"2021-06-08",823.971203794444,-18.3227947972222,1.96751002951111,-40.6462873955556,"FH",5,"BDA"
"51",59,"2021-06-08",1068.59114184444,-19.6479696727222,2.00794857842222,-46.226315598,"FH",5,"BDA"
"52",60,"2021-06-08",540.010237703333,-14.90383952325,1.91198738887778,-41.3841596287778,"FH",6,"BDA"
"53",61,"2021-06-08",730.588143763333,-18.1876446538611,1.90577041082222,-40.7652827655556,"FH",6,"BDA"
"54",62,"2021-06-08",927.212567258889,-20.2412092009444,1.90066875118889,-41.1758769393333,"FH",6,"BDA"
"55",63,"2021-06-08",610.522097367778,-16.4692814805278,1.89327620917778,-46.4233134645556,"FH",7,"REF"
"56",64,"2021-06-08",832.458240538889,-19.8358575718056,1.89426330928889,-40.7298551881111,"FH",7,"REF"
