"","peak","DATE","avg_CO2","avg_deltaCO2","avg_CH4","avg_deltaCH4","Site","chamber","Design"
"1",37,"2021-09-08",533.712739837778,-12.4048803185,1.92422689903333,-44.7547655748889,"LP",1,"BDA"
"2",38,"2021-09-08",595.988537491111,-12.398241044,1.89191357878889,-40.4482374441111,"LP",1,"BDA"
"3",39,"2021-09-08",698.16959565,-12.6515505413056,1.84849387977778,-38.2649921115556,"LP",1,"BDA"
"4",40,"2021-09-08",563.354313341111,-13.1325018863333,1.90136666043333,-40.5806708714444,"LP",2,"BDA"
"5",41,"2021-09-08",693.916936394444,-12.8148230346667,1.82203950336667,-42.3431730227778,"LP",2,"BDA"
"6",42,"2021-09-08",787.247906155556,-12.4774757559444,1.76520947992222,-37.5342181184444,"LP",2,"BDA"
"7",43,"2021-09-08",641.895915242222,-15.0459451187778,1.93521502033333,-42.8382457236667,"LP",3,"BDA"
"8",44,"2021-09-08",879.483050183333,-17.6907313653611,1.88943230486667,-38.4183432681111,"LP",3,"BDA"
"9",45,"2021-09-08",1113.75508917778,-19.5895085825278,1.85154884876667,-38.5542699742222,"LP",3,"BDA"
"10",46,"2021-09-08",569.620009108889,-13.2058272261389,1.91963465528889,-42.0124338726667,"LP",4,"BDA"
"11",47,"2021-09-08",735.454085733333,-15.5066196451944,1.86688678995556,-42.2326065846667,"LP",4,"BDA"
"12",48,"2021-09-08",790.741166904444,-16.4460449515833,1.8264092627,-42.4625859571111,"LP",4,"BDA"
"13",49,"2021-09-08",640.753896176667,-14.6529647898611,1.93619065624444,-42.5549434223333,"LP",5,"BDA"
"14",50,"2021-09-08",794.188518101111,-16.9997181489722,1.87445179655556,-44.2486903796667,"LP",5,"BDA"
"15",51,"2021-09-08",1045.98949324444,-19.5034576050833,1.78997808705556,-42.5706080496667,"LP",5,"BDA"
"16",52,"2021-09-08",536.015330143333,-12.7213993103611,2.01370249844444,-39.1314386818889,"LP",6,"BDA"
"17",53,"2021-09-08",592.083051663333,-13.2983449109167,1.99773614268889,-46.9788676833333,"LP",6,"BDA"
"18",54,"2021-09-08",747.262539383333,-15.3574060355,2.00103036738889,-45.5863349796667,"LP",6,"BDA"
"19",55,"2021-09-08",665.278987348889,-15.2010820689167,1.8911989948,-42.7182394335556,"LP",7,"REF"
"20",56,"2021-09-08",928.556751818889,-18.7032867327778,1.80698690707778,-38.3347862472222,"LP",7,"REF"
"21",57,"2021-09-08",1116.86814654444,-20.329082136,1.72039676646667,-39.3481386183333,"LP",7,"REF"
"22",58,"2021-09-08",769.297366247778,-16.3876196314444,1.88273130712222,-42.8085420832222,"LP",8,"REF"
"23",59,"2021-09-08",870.295924706667,-17.9967048185833,1.79794741117778,-40.520584229,"LP",8,"REF"
"24",60,"2021-09-08",1172.61506862222,-20.2145980235,1.7120362926,-40.7045961942222,"LP",8,"REF"
"25",61,"2021-09-08",569.691334843333,-13.4825234055556,2.01752655842222,-42.4154115142222,"LP",9,"REF"
"26",62,"2021-09-08",729.634371158889,-16.3690512956944,2.08975638647778,-46.067424852,"LP",9,"REF"
