"Sample","Site","Reach","Location","Replicate","Time","Dry_Weight_and_Filter","Ash_and_Filter","LOI","SPOM","SPOC","Date"
"SPOC","LP","BDA","LWR","1","06/14/2021",0.1313,0.1301,0.0012,1.2,0.62,"06/14/2021"
"SPOC","LP","BDA","LWR","2","06/14/2021",0.1272,0.1265,0.0007,0.7,0.36,"06/14/2021"
"SPOC","LP","BDA","LWR","3","06/14/2021",0.1339,0.1331,0.0008,0.8,0.42,"06/14/2021"
"SPOC","LP","REF","LWR","1","06/14/2021",0.1401,0.1367,0.0034,3.4,1.77,"06/14/2021"
"SPOC","LP","REF","LWR","2","06/14/2021",0.1282,0.1272,0.001,1,0.52,"06/14/2021"
"SPOC","LP","REF","LWR","3","06/14/2021",0.1302,0.1284,0.0018,1.8,0.94,"06/14/2021"
"SPOC","FH","BDA","LWR","1","06/15/2021",0.1327,0.13,0.0027,2.7,1.4,"06/14/2021"
"SPOC","FH","BDA","LWR","2","06/15/2021",0.1306,0.1286,0.002,2,1.04,"06/14/2021"
"SPOC","FH","BDA","LWR","3","06/15/2021",0.1341,0.1322,0.0019,1.9,0.99,"06/14/2021"
"SPOC","FH","REF","LWR","1","06/15/2021",0.1352,0.1328,0.0024,2.4,1.25,"06/14/2021"
"SPOC","FH","REF","LWR","2","06/15/2021",0.1346,0.132,0.0026,2.6,1.35,"06/14/2021"
"SPOC","FH","REF","LWR","3","06/15/2021",0.1337,0.1322,0.0015,1.5,0.78,"06/14/2021"
"SPOC","TP","BDA","LWR","1","06/17/2021",0.1296,0.1285,0.0011,1.1,0.57,"06/14/2021"
"SPOC","TP","BDA","LWR","2","06/17/2021",0.1307,0.1301,0.0006,0.6,0.31,"06/14/2021"
"SPOC","TP","BDA","LWR","3","06/17/2021",0.1307,0.1299,0.0008,0.8,0.42,"06/14/2021"
"SPOC","TP","REF","LWR","1","06/17/2021",0.1306,0.1299,0.0007,0.7,0.36,"06/14/2021"
"SPOC","TP","REF","LWR","2","06/17/2021",0.1302,0.1295,0.0007,0.7,0.36,"06/14/2021"
"SPOC","TP","REF","LWR","3","06/17/2021",0.1312,0.1298,0.0014,1.4,0.73,"06/14/2021"
"SPOC","LP","BDA","LWR","1","06/28/2021",0.1301,0.1291,0.001,1,0.52,"06/28/2021"
"SPOC","LP","BDA","LWR","2","06/28/2021",0.127,0.1261,0.0009,0.9,0.47,"06/28/2021"
"SPOC","LP","BDA","LWR","3","06/28/2021",0.1268,0.1259,0.0009,0.9,0.47,"06/28/2021"
"SPOC","LP","REF","LWR","1","06/28/2021",0.1277,0.1268,0.0009,0.9,0.47,"06/28/2021"
"SPOC","LP","REF","LWR","2","06/28/2021",0.1251,0.1245,0.0006,0.6,0.31,"06/28/2021"
"SPOC","LP","REF","LWR","3","06/28/2021",0.1252,0.1248,0.0004,0.4,0.21,"06/28/2021"
"SPOC","FH","BDA","LWR","1","06/29/2021",0.1325,0.1309,0.0016,1.6,0.83,"06/28/2021"
"SPOC","FH","BDA","LWR","2","06/29/2021",0.13,0.1281,0.0019,1.9,0.99,"06/28/2021"
"SPOC","FH","BDA","LWR","3","06/29/2021",0.132,0.1308,0.0012,1.2,0.62,"06/28/2021"
"SPOC","FH","REF","LWR","1","06/29/2021",0.1296,0.1282,0.0014,1.4,0.73,"06/28/2021"
"SPOC","FH","REF","LWR","2","06/29/2021",0.1305,0.129,0.0015,1.5,0.78,"06/28/2021"
"SPOC","FH","REF","LWR","3","06/29/2021",0.1313,0.1297,0.0016,1.6,0.83,"06/28/2021"
"SPOC","TP","BDA","LWR","1","07/01/2021",0.1254,0.1247,0.0007,0.7,0.36,"06/28/2021"
"SPOC","TP","BDA","LWR","2","07/01/2021",0.1272,0.1265,0.0007,0.7,0.36,"06/28/2021"
"SPOC","TP","BDA","LWR","3","07/01/2021",0.1257,0.1251,0.0006,0.6,0.31,"06/28/2021"
"SPOC","TP","REF","LWR","1","07/01/2021",0.13,0.1293,0.0007,0.7,0.36,"06/28/2021"
"SPOC","TP","REF","LWR","2","07/01/2021",0.1277,0.1273,0.0004,0.4,0.21,"06/28/2021"
"SPOC","TP","REF","LWR","3","07/01/2021",0.1291,0.1285,0.0006,0.6,0.31,"06/28/2021"
"SPOC","LP","BDA","LWR","1","07/12/2021",0.1271,0.1264,0.0007,0.7,0.36,"07/12/2021"
"SPOC","LP","BDA","LWR","2","07/12/2021",0.1272,0.1268,0.0004,0.4,0.21,"07/12/2021"
"SPOC","LP","REF","LWR","1","07/12/2021",0.1285,0.1281,0.0004,0.4,0.21,"07/12/2021"
"SPOC","LP","REF","LWR","2","07/12/2021",0.1254,0.1251,0.0003,0.3,0.16,"07/12/2021"
"SPOC","LP","REF","LWR","3","07/12/2021",0.1282,0.1275,0.0007,0.7,0.36,"07/12/2021"
"SPOC","FH","BDA","LWR","1","07/13/2021",0.1364,0.1334,0.003,3,1.56,"07/12/2021"
"SPOC","FH","BDA","LWR","2","07/13/2021",0.1344,0.1328,0.0016,1.6,0.83,"07/12/2021"
"SPOC","FH","BDA","LWR","3","07/13/2021",0.1329,0.1313,0.0016,1.6,0.83,"07/12/2021"
"SPOC","FH","REF","LWR","1","07/13/2021",0.1309,0.1297,0.0012,1.2,0.62,"07/12/2021"
"SPOC","FH","REF","LWR","2","07/13/2021",0.1315,0.1303,0.0012,1.2,0.62,"07/12/2021"
"SPOC","FH","REF","LWR","3","07/13/2021",0.1308,0.1294,0.0014,1.4,0.73,"07/12/2021"
"SPOC","TP","BDA","LWR","1","07/15/2021",0.1298,0.1293,0.0005,0.5,0.26,"07/12/2021"
"SPOC","TP","BDA","LWR","2","07/15/2021",0.1311,0.1307,0.0004,0.4,0.21,"07/12/2021"
"SPOC","TP","BDA","LWR","3","07/15/2021",0.1324,0.1321,0.0003,0.3,0.16,"07/12/2021"
"SPOC","TP","REF","LWR","1","07/15/2021",0.13,0.1293,0.0007,0.7,0.36,"07/12/2021"
"SPOC","TP","REF","LWR","2","07/15/2021",0.1268,0.1264,0.0004,0.4,0.21,"07/12/2021"
"SPOC","TP","REF","LWR","3","07/15/2021",0.1268,0.1264,0.0004,0.4,0.21,"07/12/2021"
"SPOC","LP","BDA","LWR","1","07/26/2021",0.1248,0.1242,0.0006,0.6,0.31,"07/26/2021"
"SPOC","LP","BDA","LWR","2","07/26/2021",0.1256,0.125,0.0006,0.6,0.31,"07/26/2021"
"SPOC","LP","BDA","LWR","3","07/26/2021",0.1263,0.1258,0.0005,0.5,0.26,"07/26/2021"
"SPOC","LP","REF","LWR","1","07/26/2021",0.1275,0.1269,0.0006,0.6,0.31,"07/26/2021"
"SPOC","LP","REF","LWR","2","07/26/2021",0.1271,0.1265,0.0006,0.6,0.31,"07/26/2021"
"SPOC","LP","REF","LWR","3","07/26/2021",0.1243,0.1238,0.0005,0.5,0.26,"07/26/2021"
"SPOC","FH","BDA","LWR","1","07/27/2021",0.1314,0.1298,0.0016,1.6,0.83,"07/26/2021"
"SPOC","FH","BDA","LWR","2","07/27/2021",0.1328,0.1311,0.0017,1.7,0.88,"07/26/2021"
"SPOC","FH","BDA","LWR","3","07/27/2021",0.1313,0.1298,0.0015,1.5,0.78,"07/26/2021"
"SPOC","FH","REF","LWR","1","07/27/2021",0.1309,0.1295,0.0014,1.4,0.73,"07/26/2021"
"SPOC","FH","REF","LWR","2","07/27/2021",0.1313,0.1299,0.0014,1.4,0.73,"07/26/2021"
"SPOC","FH","REF","LWR","3","07/27/2021",0.129,0.1277,0.0013,1.3,0.68,"07/26/2021"
"SPOC","TP","BDA","LWR","1","07/29/2021",0.1284,0.1278,0.0006,0.6,0.31,"07/26/2021"
"SPOC","TP","BDA","LWR","2","07/29/2021",0.1274,0.1269,0.0005,0.5,0.26,"07/26/2021"
"SPOC","TP","BDA","LWR","3","07/29/2021",0.1288,0.1284,0.0004,0.4,0.21,"07/26/2021"
"SPOC","TP","REF","LWR","1","07/29/2021",0.1264,0.1259,0.0005,0.5,0.26,"07/26/2021"
"SPOC","TP","REF","LWR","2","07/29/2021",0.1266,0.1261,0.0005,0.5,0.26,"07/26/2021"
"SPOC","TP","REF","LWR","3","07/29/2021",0.1298,0.1293,0.0005,0.5,0.26,"07/26/2021"
"SPOC","LP","BDA","LWR","1","08/09/2021",0.1334,0.1309,0.0025,2.5,1.3,"08/09/2021"
"SPOC","LP","BDA","LWR","2","08/09/2021",0.1328,0.1314,0.0014,1.4,0.73,"08/09/2021"
"SPOC","LP","BDA","LWR","3","08/09/2021",0.1273,0.1264,0.0009,0.9,0.47,"08/09/2021"
"SPOC","LP","REF","LWR","1","08/09/2021",0.1322,0.1315,0.0007,0.7,0.36,"08/09/2021"
"SPOC","LP","REF","LWR","2","08/09/2021",0.1276,0.1271,0.0005,0.5,0.26,"08/09/2021"
"SPOC","LP","REF","LWR","3","08/09/2021",0.1242,0.1236,0.0006,0.6,0.31,"08/09/2021"
"SPOC","FH","BDA","LWR","1","08/10/2021",0.1329,0.1311,0.0018,1.8,0.94,"08/09/2021"
"SPOC","FH","BDA","LWR","2","08/10/2021",0.1332,0.1305,0.0027,2.7,1.4,"08/09/2021"
"SPOC","FH","BDA","LWR","3","08/10/2021",0.1353,0.1333,0.002,2,1.04,"08/09/2021"
"SPOC","FH","REF","LWR","1","08/10/2021",0.1302,0.1287,0.0015,1.5,0.78,"08/09/2021"
"SPOC","FH","REF","LWR","2","08/10/2021",0.1282,0.127,0.0012,1.2,0.62,"08/09/2021"
"SPOC","FH","REF","LWR","3","08/10/2021",0.1307,0.1294,0.0013,1.3,0.68,"08/09/2021"
"SPOC","TP","BDA","LWR","1","08/12/2021",0.1278,0.1272,0.0006,0.6,0.31,"08/09/2021"
"SPOC","TP","BDA","LWR","2","08/12/2021",0.1273,0.127,0.0003,0.3,0.16,"08/09/2021"
"SPOC","TP","BDA","LWR","3","08/12/2021",0.129,0.1286,0.0004,0.4,0.21,"08/09/2021"
"SPOC","TP","REF","LWR","1","08/12/2021",0.1264,0.126,0.0004,0.4,0.21,"08/09/2021"
"SPOC","TP","REF","LWR","2","08/12/2021",0.1264,0.1262,0.0002,0.2,0.1,"08/09/2021"
"SPOC","TP","REF","LWR","3","08/12/2021",0.1272,0.1269,0.0003,0.3,0.16,"08/09/2021"
"SPOC","LP","BDA","LWR","1","08/25/2021",0.1285,0.1272,0.0013,1.3,0.68,"08/25/2021"
"SPOC","LP","BDA","LWR","3","08/25/2021",0.1379,0.134,0.0039,3.9,2.03,"08/25/2021"
"SPOC","LP","REF","LWR","1","08/25/2021",0.1272,0.1268,0.0004,0.4,0.21,"08/25/2021"
"SPOC","LP","REF","LWR","2","08/25/2021",0.128,0.1277,0.0003,0.3,0.16,"08/25/2021"
"SPOC","LP","REF","LWR","3","08/25/2021",0.1287,0.1282,0.0005,0.5,0.26,"08/25/2021"
"SPOC","FH","BDA","LWR","1","08/26/2021",0.133,0.1309,0.0021,2.1,1.09,"08/25/2021"
"SPOC","FH","BDA","LWR","2","08/26/2021",0.1306,0.1289,0.0017,1.7,0.88,"08/25/2021"
"SPOC","FH","BDA","LWR","3","08/26/2021",0.1312,0.1291,0.0021,2.1,1.09,"08/25/2021"
"SPOC","FH","REF","LWR","1","08/26/2021",0.132,0.1303,0.0017,1.7,0.88,"08/25/2021"
"SPOC","FH","REF","LWR","2","08/26/2021",0.131,0.1293,0.0017,1.7,0.88,"08/25/2021"
"SPOC","FH","REF","LWR","3","08/26/2021",0.1324,0.1306,0.0018,1.8,0.94,"08/25/2021"
"SPOC","TP","BDA","LWR","1","08/29/2021",0.1262,0.1256,0.0006,0.6,0.31,"08/25/2021"
"SPOC","TP","BDA","LWR","2","08/29/2021",0.1308,0.1294,0.0014,1.4,0.73,"08/25/2021"
"SPOC","TP","BDA","LWR","3","08/29/2021",0.1283,0.1277,0.0006,0.6,0.31,"08/25/2021"
"SPOC","TP","REF","LWR","1","08/29/2021",0.1247,0.1242,0.0005,0.5,0.26,"08/25/2021"
"SPOC","TP","REF","LWR","2","08/29/2021",0.1229,0.1223,0.0006,0.6,0.31,"08/25/2021"
"SPOC","TP","REF","LWR","3","08/29/2021",0.1262,0.1253,0.0009,0.9,0.47,"08/25/2021"
"SPOC","LP","BDA","LWR","1","09/08/2021",0.1293,0.1289,0.0004,0.4,0.21,"09/07/2021"
"SPOC","LP","BDA","LWR","2","09/08/2021",0.1305,0.1302,0.0003,0.3,0.16,"09/07/2021"
"SPOC","LP","BDA","LWR","3","09/08/2021",0.1313,0.1308,0.0005,0.5,0.26,"09/07/2021"
"SPOC","LP","REF","LWR","1","09/08/2021",0.1291,0.1284,0.0007,0.7,0.36,"09/07/2021"
"SPOC","LP","REF","LWR","2","09/08/2021",0.1318,0.1313,0.0005,0.5,0.26,"09/07/2021"
"SPOC","LP","REF","LWR","3","09/08/2021",0.1306,0.1301,0.0005,0.5,0.26,"09/07/2021"
"SPOC","FH","BDA","LWR","1","09/07/2021",0.1346,0.1329,0.0017,1.7,0.88,"09/07/2021"
"SPOC","FH","BDA","LWR","2","09/07/2021",0.1321,0.1308,0.0013,1.3,0.68,"09/07/2021"
"SPOC","FH","BDA","LWR","3","09/07/2021",0.1339,0.1322,0.0017,1.7,0.88,"09/07/2021"
"SPOC","FH","REF","LWR","1","09/07/2021",0.1315,0.1304,0.0011,1.1,0.57,"09/07/2021"
"SPOC","FH","REF","LWR","2","09/07/2021",0.1316,0.1306,0.001,1,0.52,"09/07/2021"
"SPOC","FH","REF","LWR","3","09/07/2021",0.131,0.1299,0.0011,1.1,0.57,"09/07/2021"
"SPOC","TP","BDA","LWR","1","09/10/2021",0.131,0.1304,0.0006,0.6,0.31,"09/07/2021"
"SPOC","TP","BDA","LWR","2","09/10/2021",0.1297,0.129,0.0007,0.7,0.36,"09/07/2021"
"SPOC","TP","BDA","LWR","3","09/10/2021",0.129,0.1284,0.0006,0.6,0.31,"09/07/2021"
"SPOC","TP","REF","LWR","1","09/10/2021",0.1299,0.1295,0.0004,0.4,0.21,"09/07/2021"
"SPOC","TP","REF","LWR","2","09/10/2021",0.1281,0.1277,0.0004,0.4,0.21,"09/07/2021"
"SPOC","TP","REF","LWR","3","09/10/2021",0.1311,0.1309,0.0002,0.2,0.1,"09/07/2021"
